song_id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6C0xucNj75wRdlejwWIEW1,Club Foot,Kasabian,0.238,0.919,0,-6.893,1,0.0816,0.0257,2.31e-05,0.0914,0.123,101.752,214373,4
2Y1LUIIyRhtWEMag2A9vXR,Huddle Formation,The Go! Team,0.431,0.96,5,-4.784,1,0.0687,0.00845,0.85,0.478,0.503,150.08,191133,4
0qG1teoBvooRo7Z5Z8edCk,La ritournelle,Sébastien Tellier,0.558,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,454480,4
4m8ttWM8IKXyhpv89E867J,Cherry Blossom Girl,Air,0.436,0.76,1,-7.906,0,0.0374,0.362,0.955,0.13,0.504,75.012,219760,4
76ZshabxTR4myE9001kHQi,Day Job,The Fitness,0.63,0.782,4,-5.505,1,0.0443,0.475,1.61e-06,0.346,0.438,139.972,185947,4
5ubzPeRkwUlJ9VjH1NVXeJ,Meantime,The Futureheads,0.474,0.949,11,-3.899,1,0.0721,0.00894,1.45e-06,0.0737,0.772,180.007,170467,4
7mAF2MJdbNT75VrVcgwT6F,Hounds of Love,The Futureheads,0.36,0.895,9,-3.795,1,0.117,0.0329,1.18e-06,0.06,0.424,168.214,182680,4
0M7ZlP2RfhlrV5Jc7LkBRj,At the River,Groove Armada,0.687,0.556,8,-7.051,1,0.0282,0.0382,0.463,0.213,0.466,136.027,393373,4
53Qpn8LPa0IhFCTiPO0Bbm,I Disappear,The Faint,0.627,0.86,2,-7.646,1,0.0443,0.00207,0.0329,0.108,0.677,138.086,247173,4
2i7OfHkKrwYnVGK3MeE4NQ,Tell Me Does She Love The Bass,Lesbians On Ecstasy,0.774,0.786,7,-5.923,1,0.187,0.0128,0.564,0.319,0.724,120.898,292853,4
7bQubbS5IDymxeH2qDZC8g,Teen Angst,M83,0.32,0.863,11,-5.089,0,0.0447,2.41e-05,0.14,0.257,0.0991,149.998,303133,4
4bz7uB4edifWKJXSDxwHcs,Galvanize,The Chemical Brothers,0.745,0.714,7,-3.681,1,0.0751,0.0141,0.0222,0.363,0.365,104.003,393813,4
4YgjTjzden2HdFOyEF3R9h,Finding out True Love Is Blind - Album/EP Version,"Louis XIV, Jason Hill, Brian Karscig",0.634,0.763,7,-5.028,1,0.241,0.0311,3.59e-05,0.549,0.781,155.7,254600,4
7LL40F6YdZgeiQ6en1c7Lk,Robot Rock,Daft Punk,0.59,0.787,7,-5.766,1,0.0512,6.94e-06,0.845,0.0293,0.598,111.926,287720,4
3i4rv1Ho4V2bprpiG2BFQk,How Long,Out Hud,0.743,0.632,5,-6.942,0,0.035,0.00417,0.753,0.34,0.689,107.212,294107,4
172u95XX2JxIfBZi1v0vKN,Banquet,Bloc Party,0.576,0.935,10,-4.911,0,0.051,0.00013,0.017,0.0828,0.875,150.227,201360,4
4kxYIvDIpWTrZgHn3sYxxC,Helicopter,Bloc Party,0.471,0.954,11,-3.632,0,0.134,0.000156,0.00473,0.405,0.412,170.092,220173,4
5jFMzYXf0IIApEJBCAoaaL,This Modern Love,Bloc Party,0.45,0.941,0,-5.335,1,0.0367,0.00221,0.00804,0.126,0.243,159.987,265613,4
2aAV8orZctvbDvVJnMDlBR,Never Win,Fischerspooner,0.801,0.544,8,-5.858,1,0.0363,0.000738,0.000363,0.0596,0.783,112.009,239640,4
050o7o0UOk31WYVIgL3QbZ,Frenchy I'm Faking,Architecture In Helsinki,0.433,0.527,0,-5.828,1,0.0615,0.534,0.00741,0.265,0.518,169.092,172560,4
7DNlYIAI6264jk4fHY2djy,Apart,Elkland,0.49,0.986,1,-3.42,1,0.0488,0.00299,0.0,0.125,0.704,154.982,206293,4
19503qDaxgCdPL2BhJngij,Apply Some Pressure,Maximo Park,0.378,0.953,9,-3.632,1,0.138,0.000719,2.89e-05,0.0936,0.512,167.808,200347,4
3lIa4Iro7uVDLpR0ToLw7S,Love + Pain,Clor,0.611,0.878,10,-4.28,0,0.0584,0.000283,0.128,0.171,0.682,162.975,229867,4
26R39SGsCiHpCEVLpEyHFP,All Night Disco Party,Brakes,0.703,0.87,9,-6.176,1,0.0308,0.00411,0.401,0.0402,0.249,127.509,165187,4
75lw5aYrDq0TJsbkqCPRIJ,Rock & Roll Queen,The Subways,0.381,0.746,10,-6.598,0,0.0407,0.000172,0.00101,0.111,0.263,141.518,172533,4
3DNEGzr5Y4pzSWNJFdw9cK,Middle of Nowhere,Hot Hot Heat,0.568,0.971,7,-3.478,1,0.0543,0.0518,4.24e-05,0.265,0.778,139.27,241333,4
0pUXpH8hYSELeFTtYX8taT,Jacques Your Body (Make Me Sweat) - Radio Edit,Les Rythmes Digitales,0.677,0.967,6,-6.939,0,0.0529,0.000184,0.304,0.0621,0.39,125.88,166880,4
1YTh975WnURrQc2BLYTwzE,Riot Radio,The Dead 60s,0.571,0.854,7,-5.878,0,0.0296,0.00053,0.000284,0.0822,0.89,143.785,145080,4
0vek0LcCbvcMtj0GkXMMJy,Do You Want To,Franz Ferdinand,0.413,0.942,0,-2.871,1,0.0453,0.0783,0.000412,0.689,0.759,123.085,215000,4
2Sjj9UFgtIu1uu3lK0ys32,Boa Vs Python,Test Icicles,0.425,0.92,9,-4.044,0,0.133,6.56e-05,0.000193,0.0645,0.488,155.354,184693,4
3urJUvRhgMrwydaTQFVEg9,Tear You Apart,She Wants Revenge,0.583,0.729,1,-6.645,0,0.0341,0.000522,1.47e-05,0.487,0.539,152.996,284613,4
6m5D7zGVbzAxceDXQTsRSX,Over And Over,Hot Chip,0.774,0.794,5,-4.446,0,0.0358,0.00824,0.00317,0.08,0.724,120.002,347880,4
5nZvY7kiNCqu1t54lQpWWL,Without You,Elkland,0.675,0.817,0,-5.889,1,0.029,0.00931,0.00372,0.0784,0.976,120.037,200773,4
4hsDm4zQAhutLjxp3DVeSf,Budapest,"Poni Hoax, Olga Kouklaki",0.841,0.606,10,-7.438,1,0.0482,0.00122,0.00268,0.0835,0.8,126.053,329947,4
1DGyRcg2ImFsGvVFL1jZMQ,Monster,The Automatic Automatic,0.536,0.868,4,-5.22,0,0.0301,0.000316,4.77e-06,0.196,0.569,141.471,220947,4
76rCrPvrlLO4CyqAeaLu4o,Standing In the Way of Control,Gossip,0.697,0.919,7,-6.174,1,0.029,0.00694,0.0621,0.203,0.943,118.341,256400,4
0iUano4euaiUETVUd1u0cx,"Nobody Move, Nobody Get Hurt",We Are Scientists,0.47,0.969,6,-4.739,1,0.0968,0.000702,0.0,0.332,0.593,144.012,192311,4
2YRi0WG0UofTkwC5cbOYDj,Love Like Semtex,Infadels,0.56,0.918,8,-5.484,0,0.149,0.00417,2.08e-06,0.844,0.541,132.03,227840,4
6ttg1sxtU12beFZkjoc6j5,Gold Lion,Yeah Yeah Yeahs,0.521,0.848,9,-3.396,1,0.065,0.0204,1.21e-05,0.081,0.297,158.739,187133,4
1i9bmGVWwqZkYuq5AcR5kB,The Treatment,Dead Disco,0.455,0.705,0,-13.692,1,0.0426,0.000593,0.0127,0.111,0.475,107.51,208187,4
3THQX0H9OJy1UDuq9LEKos,I Am The Night Before,Kissogram,0.759,0.75,0,-8.384,1,0.031,0.00256,0.0745,0.194,0.77,125.012,211280,4
4FnRRY3oEAor3gMEvsuBrp,Ankle Injuries,Fujiya & Miyagi,0.767,0.67,11,-8.749,0,0.0333,6.4e-05,0.751,0.0835,0.477,136.998,305007,4
4roS0RWmW9OQmknToefi2n,Stutter,Kubichek!,0.436,0.881,4,-5.083,1,0.0497,0.0386,0.0,0.0854,0.447,166.3,214773,4
46sqkKk663MiT1u0WHLQKF,Boys Wanna Be Her,Peaches,0.773,0.512,2,-3.845,1,0.0887,0.141,0.0,0.0712,0.721,139.034,235560,4
6LLxu5ggPuAhcG6MnOsBUb,Let's Make Love and Listen to Death From Above,CSS,0.694,0.791,10,-5.143,0,0.0324,0.0741,0.0122,0.191,0.695,119.998,211187,4
51E2j0gJcfk4evTgmwdTEp,Alala,CSS,0.602,0.967,3,-4.265,0,0.0663,0.00449,0.0291,0.346,0.245,135.015,238267,4
14xE814jOiQJiUQh2gB55S,"Music Is My Hot, Hot Sex",CSS,0.741,0.717,8,-5.578,0,0.0446,0.016,0.00128,0.0607,0.899,100.012,187027,4
06l3w5DRH3LmOmOtpWKRmN,Suzie,Boy Kill Boy,0.445,0.925,2,-4.146,1,0.0986,0.000431,0.0,0.289,0.558,150.969,199933,4
49ErwcBYfYRPNBdRuPvpYA,We Are Your Friends - Justice Vs Simian,"Justice, Simian",0.615,0.97,9,1.342,0,0.119,0.0104,0.384,0.178,0.507,122.993,262773,4
5ZrrXIYTvjXPKVQMjqaumR,Loud Pipes,Ratatat,0.718,0.703,7,-7.162,0,0.0382,0.109,0.822,0.208,0.858,87.975,226533,4
4EBisBBehGON4ESJsNZBsP,Wildcat,Ratatat,0.703,0.718,1,-7.522,1,0.0669,0.0479,0.432,0.0415,0.785,115.993,260173,4
350unvjtEd0guVfecOHXR2,Don't Give Up,The Whitest Boy Alive,0.461,0.639,7,-9.586,1,0.035,0.175,0.487,0.0812,0.466,113.945,347809,4
08HmtdAdRYiutP5WO02utw,Burning,The Whitest Boy Alive,0.721,0.758,11,-7.536,0,0.0372,0.671,0.891,0.133,0.864,150.825,191173,4
4buG9JQ09m0qp6HVaMahdQ,Pride Before the Fall,The KBC,0.652,0.752,0,-4.591,1,0.0651,0.00118,0.0,0.128,0.726,130.04,241587,4
5DWBBBVHFsUpmIW7dAsDyX,Automatic,Dead Disco,0.454,0.835,0,-6.349,1,0.052,0.000965,0.168,0.379,0.427,144.976,203840,4
03wKMRNYVvw6s9nm4I4jUS,Wolf Like Me,TV On The Radio,0.363,0.787,7,-5.071,1,0.0429,0.00176,0.00445,0.531,0.202,175.919,279293,4
3mv6TYbXOfJV6Nuy58xtJH,Pieces Of The People We Love,The Rapture,0.783,0.509,11,-5.284,1,0.0393,6.18e-05,0.139,0.143,0.454,140.029,223507,4
13pyGLYmBjYgvOMIEivX2K,I Don't Feel Like Dancin',Scissor Sisters,0.71,0.917,7,-3.385,1,0.0287,0.018,0.0,0.335,0.83,108.031,288360,4
1zyGFId8xHOcRmCmehrwlc,I Can't Decide,Scissor Sisters,0.69,0.795,3,-4.956,1,0.0312,0.255,0.0,0.202,0.872,96.99,166573,4
6HgZiOIg0kmHIXEGnD5V4N,I'm On Fire,Chromatics,0.621,0.421,10,-11.834,1,0.0286,0.677,0.351,0.0615,0.318,129.958,245133,4
47GBQDp2NglOJ9MBNTXOzb,Drop The Decade,Shut Your Eyes And You'll Burst Into Flames,0.608,0.854,4,-4.579,0,0.164,0.0163,0.0,0.0813,0.835,148.887,209173,4
33yVkTCg6UQdhkIf2OOS9L,That’s What She Said,The Automatic,0.493,0.946,10,-3.277,0,0.0365,0.00123,0.0,0.159,0.852,147.904,197347,4
4jjtFbO4dYu4JO0CIph6Ak,Le Disko,Shiny Toy Guns,0.762,0.697,7,-3.657,1,0.0463,0.0688,7.52e-05,0.269,0.705,123.033,203307,4
2LtLqWo8CtcovtUv8BTCKM,Walking Machine - Sebastian Remix,Revl9n,0.882,0.739,10,-6.604,0,0.2,0.00804,0.22,0.089,0.559,121.033,221293,4
2YacpExEbX9tF8IbFlFOo4,Heartbeats,The Knife,0.649,0.753,8,-4.874,1,0.0319,0.0209,5.84e-05,0.105,0.46,87.989,231853,4
6R1hD9xyWfJcxVLsUnZYXg,Embrace,PNAU,0.641,0.952,6,-4.037,0,0.0418,0.00301,0.000514,0.223,0.418,127.977,329774,4
6vL0n4knFvTKHD3p7t1Y17,Dr Love,Bumblebeez,0.635,0.875,8,-6.375,1,0.217,0.0232,0.41,0.357,0.449,201.807,250933,4
53r1jCy48ZeYOBsYQSdGbG,When You Leave,Maps,0.4,0.674,2,-7.21,1,0.0278,0.0312,0.243,0.152,0.105,106.012,367467,4
4il0gkso02Jhf8kyaSkhP4,Rainbow Man,Busy P,0.763,0.754,9,-9.768,1,0.208,0.028,0.923,0.129,0.392,104.036,214627,4
2P6QV6D4E3TxcYoYYz8ANJ,Blind - Frankie Knuckles Remix,Hercules & Love Affair,0.783,0.781,2,-5.39,0,0.0481,0.0194,0.128,0.0299,0.862,123.995,471996,4
0vYtSvR5hvbyVsJYp7Zslq,With You Forever,PNAU,0.639,0.929,0,-5.005,1,0.0351,0.015,0.000376,0.698,0.493,127.994,214054,4
3kLMlkAp0UG0zuk3MrbyPU,It's Not Over Yet,Klaxons,0.272,0.913,9,-3.668,1,0.155,0.00577,7.72e-06,0.202,0.309,152.036,215253,4
0bx5Y03qpyyRjBtXOFXgnT,Baby,PNAU,0.662,0.943,8,-2.312,0,0.0375,0.0397,1.49e-05,0.192,0.707,127.971,165027,4
6EMQlFxHrzZ19xHOD4Wnhb,Come Together,PNAU,0.608,0.797,8,-4.78,1,0.045,3.81e-05,0.000616,0.325,0.393,127.985,301907,4
0ka1Ct1hpHkKDrNhzDIgQf,Pony,Teenager,0.632,0.869,9,-4.393,0,0.036,0.000771,3.6e-06,0.171,0.696,128.018,166113,4
3Q17BTJ1pOOE139fV3OefK,We Were Born The Mutants Again With Leafling,of Montreal,0.653,0.954,5,-5.468,1,0.0302,0.136,0.401,0.123,0.971,127.02,298013,4
6BhkRrMSy8Skyf1mhxVJbI,Cato As A Pun,of Montreal,0.417,0.85,5,-4.974,0,0.0439,0.000986,0.00311,0.324,0.497,200.001,182600,4
6M6UoxIPn4NOWW0x7JPRfv,Young Folks,Peter Bjorn and John,0.701,0.815,0,-5.995,1,0.0381,0.0174,0.000627,0.0969,0.671,138.142,279027,4
2fAIfPLrPUTW1AmJRR428Q,Ruby,Kaiser Chiefs,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,204200,4
2Ud3deeqLAG988pfW0Kwcl,All My Friends,LCD Soundsystem,0.701,0.788,2,-5.611,1,0.0425,0.148,0.625,0.0977,0.795,142.584,462267,4
2VGDntFPvgvqSiUf9ITEfW,Someone Great,LCD Soundsystem,0.722,0.894,7,-5.903,1,0.0325,0.0418,0.00374,0.11,0.396,113.003,390013,4
1qlMTivCjISCkR3gLAB3tc,A Strange Education,The Cinematics,0.527,0.843,4,-4.08,0,0.0324,0.000102,0.0643,0.723,0.24,123.912,324040,4
7aB9V1AfdHhdONxii7njJ9,Books From Boxes,Maximo Park,0.611,0.568,5,-6.142,1,0.032,0.0906,0.0,0.117,0.567,95.546,208653,4
1yG1OpMiV8WtDeOYEBvNW8,Our Velocity,Maximo Park,0.535,0.92,7,-4.39,0,0.0535,0.031,1.43e-05,0.0493,0.587,95.987,200387,4
4qSvgKOY2MgXh0lrFO6NOq,Four Horsemen Of 2012,Klaxons,0.337,0.989,7,-3.584,1,0.127,7.27e-05,0.194,0.0894,0.0693,135.9,138467,4
7vlpkxvgr97TIzBL5VSZHI,Dream Of Infinity,Shitdisco,0.493,0.929,9,-6.236,1,0.0896,0.126,0.00137,0.127,0.21,147.895,223960,4
0ZNPmiDiAbJY4GC0Vvec5v,See The Blood,Black Wire,0.571,0.835,11,-7.137,0,0.0401,0.0638,0.0013,0.072,0.492,151.078,215733,1
4CLZlTPjaKqbadAJc031OQ,Pogo,Digitalism,0.403,0.754,0,-5.256,1,0.0441,6.08e-05,7.73e-05,0.529,0.398,136.021,226467,4
6vv9VPzbRguxHlZiikJpMB,Digitalism In Cairo,Digitalism,0.871,0.399,4,-10.094,1,0.0564,0.000487,0.0785,0.12,0.914,132.967,288747,4
3qel23hQWhHT3qGewBQ0pE,Men's Needs,The Cribs,0.547,0.944,1,-2.264,0,0.0469,0.000102,9.95e-05,0.0665,0.835,122.005,195973,4
70TKRjLmKgi8cn3vtEyf0u,You Made Me Like It,1990s,0.618,0.447,4,-14.16,1,0.0457,0.0532,6.07e-05,0.101,0.966,150.139,192493,4
06kEiBmZn3DqfGWs10SHfZ,Astronaut,Shy Child,0.411,0.83,7,-2.336,0,0.0553,0.00011,3.04e-06,0.115,0.355,139.949,209480,4
2SS626XrxLokgcGw0sC9zC,First Love,The Maccabees,0.341,0.747,9,-5.259,1,0.0589,0.0256,0.000166,0.0493,0.599,177.39,183947,4
4Wvr1YaxNsCujq77dKujys,Believe,The Bravery,0.385,0.949,8,-3.369,1,0.0459,0.00501,2.13e-06,0.113,0.517,166.137,226347,4
40emFSykzqyrnDpdkKbzqZ,Solta O Frango,Bonde Do Role,0.845,0.72,1,-5.95,1,0.105,0.00864,2.64e-05,0.452,0.916,128.042,135373,4
3JVI710efRiB7comD33vD1,I’m A Man,Black Strobe,0.726,0.779,11,-7.608,0,0.18,0.00211,0.764,0.0719,0.815,129.995,275547,4
2hQCzcb3qyZirWzOD5Yzoj,D.A.N.C.E.,Justice,0.594,0.961,6,-5.443,0,0.338,0.0463,0.0,0.853,0.531,113.126,209987,4
3KNjIDBfTslSQnrVEXyY5b,Surrender,(We Are) Performance,0.422,0.946,11,-2.775,1,0.0491,0.000248,0.0112,0.458,0.4,131.003,234560,4
60Ih7J2Q1o9shvMC2OAALu,Let's Dance to Joy Division,The Wombats,0.399,0.838,4,-6.679,1,0.102,0.00127,0.0,0.576,0.747,116.911,191293,4
4XLWENFmRsKab4MiiLcbja,La Verite,Vive La Fête,0.701,0.49,0,-8.63,1,0.0366,1.29e-05,0.0928,0.227,0.518,141.993,297227,4
06mjyZItNGTvrTji2LYd6J,Waterwater,Jakobínarína,0.499,0.856,9,-4.567,0,0.0399,0.00206,0.819,0.346,0.678,137.093,179667,4
1kusepF3AacIEtUTYrw4GV,Paper Planes,M.I.A.,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247,203760,4
7iPRwh9lN16vS3dUcIKHxV,Bring On The Comets,VHS or Beta,0.531,0.799,0,-5.973,1,0.0287,0.00361,0.04,0.0664,0.518,131.189,243640,4
4H9637mkUDyk9Rq0WgDEwc,Je veux te voir,Yelle,0.924,0.651,7,-3.894,1,0.124,0.0203,0.0069,0.059,0.898,126.947,261920,4
2KjJhGtseXQBI5Cg6ZZdc9,Ce jeu,Yelle,0.881,0.666,6,-5.724,1,0.0381,0.0725,0.0,0.0998,0.711,108.325,222600,4
0Dzd9CrpPC2DSOotqVEuRk,Grip Like A Vice,The Go! Team,0.456,0.984,5,-3.084,0,0.0571,0.00176,0.183,0.748,0.593,99.993,241359,4
10zzmoWQkfiUfZRBDS88i9,I Believe,Simian Mobile Disco,0.658,0.714,6,-4.84,1,0.18,0.00458,0.00725,0.0914,0.829,97.104,196280,4
18tmaLcIWTagyzeoqa41Up,Stripper,Sohodolls,0.703,0.778,8,-5.057,1,0.0734,0.000728,0.0646,0.094,0.382,127.992,216787,4
3mmr5rD9fTx9H5a9bNFGRG,London Scene?,Twisted Charm,0.571,0.793,0,-2.647,1,0.0456,0.000777,0.289,0.265,0.583,143.796,219613,4
6PJx7Jurx7OKFyZpPE59c2,Less Talk More Rokk,Freezepop,0.548,0.502,2,-7.992,0,0.0365,0.000722,0.00226,0.148,0.199,125.015,294333,4
0AlBOG80IWekxvlnZFbbIg,Ice Cream,Muscles,0.63,0.831,6,-4.965,1,0.087,0.108,1.87e-05,0.164,0.593,134.0,208000,4
4svwLPpXSvRjitKPuGXj7Y,Think Fast,Bolt Action Five,0.568,0.809,6,-7.736,0,0.0562,0.00408,6.81e-05,0.293,0.776,88.961,199147,4
7di4QTqNCZjX4JUFKhWQsr,Overpowered,Róisín Murphy,0.736,0.827,3,-6.273,0,0.0344,0.091,0.00509,0.315,0.878,117.024,309173,4
5Sc2fzlLgO9hMalh6B6gqc,Japanese Girl - Eskimo Disco Vs Fred Falke Radio Remix,Eskimo Disco,0.614,0.853,7,-7.062,1,0.285,0.00147,0.108,0.123,0.319,128.061,222000,4
5lxCN9TsVFV8hyxmLouNpj,Wonderland,Winterkids,0.464,0.734,6,-8.498,1,0.0313,0.0012,7.87e-05,0.111,0.606,147.948,209933,4
1Qptbc19vQvvL2mqFIKstg,Milk Crisis,The Go! Team,0.555,0.992,8,-3.083,1,0.0544,0.0145,0.882,0.229,0.842,107.985,164427,4
1J6lt3R5gt5K8jN8yR6UgZ,Fear And Fluoride,Dead Kids,0.475,0.918,0,-4.643,1,0.0694,0.00192,1.66e-05,0.26,0.344,139.974,185467,4
6BFmijF1DypBiTmHwGjjAB,Drop The Phone,Shy Child,0.838,0.628,1,-3.866,1,0.0837,0.000282,0.837,0.176,0.704,112.057,187387,4
3TylnMEpvHBIllsxAZyWwv,Architechs of Discotech,Glamour For Better,0.663,0.848,1,-5.356,0,0.0934,0.0158,1.16e-06,0.0745,0.725,150.026,170200,4
71lEsHwRSZRp9YGmW4ZdLp,"tell me, computer",to my boy,0.54,0.699,2,-4.296,1,0.0449,0.0232,0.109,0.27,0.535,168.104,153240,4
4OSEE9iEHADmTSCpxl87GJ,Paris (Aeroplane Remix),Friendly Fires,0.703,0.719,1,-6.625,0,0.0461,0.00889,0.0962,0.0695,0.462,112.009,465333,4
4mdyVTV7Tr5YDFnD2kvSM4,Bruises,Chairlift,0.579,0.554,0,-7.08,1,0.0587,0.0175,0.0221,0.101,0.838,185.183,241467,4
0VS5ka3Cu1DJyVWVvdtso8,The Knife: Heartbeats - Rex The Dog Remix,Rex The Dog,0.783,0.485,8,-10.114,1,0.0633,0.0781,0.00337,0.567,0.687,117.026,210040,4
0krEZnlOTFefuX2cC8Texl,Jerk It,Thunderheist,0.825,0.647,6,-8.416,0,0.0443,0.00857,0.0,0.108,0.699,135.391,233920,4
6rzV6zkvh0aVLhPDBUgLlb,You! Me! Dancing!,Los Campesinos!,0.424,0.949,2,-3.901,1,0.0908,0.0321,0.000611,0.102,0.352,165.125,405920,4
2cDpJ4fxFRW6AwethyVUj7,Skeleton Boy,Friendly Fires,0.61,0.913,1,-4.287,1,0.054,0.00553,0.00096,0.091,0.811,119.012,213640,4
4anehmsEuhkXRjm6HAocaj,Jump In The Pool,Friendly Fires,0.419,0.924,9,-4.404,1,0.116,0.00883,0.0229,0.313,0.362,139.977,217040,4
5FJ9ovDWZiwjmune2ENMdl,Halo,Bloc Party,0.395,0.966,0,-2.907,1,0.0886,1.68e-05,0.523,0.459,0.352,89.942,216253,4
5J2aWRLoOL57CUkkzZjZWy,Hearts On Fire,Cut Copy,0.558,0.957,10,-3.999,0,0.0488,0.0376,0.871,0.231,0.683,124.977,292547,4
7lsFHOFeMyWiqaKrESLudT,Ready For The Floor,Hot Chip,0.764,0.759,1,-5.443,0,0.0413,0.00903,0.0,0.0746,0.937,128.999,234240,4
5ojzjZ4P2S1sEDHcFMsjPQ,Mr Understanding,Pete And The Pirates,0.521,0.914,2,-4.597,1,0.0313,0.000385,0.0216,0.103,0.767,150.047,195147,4
484hkZCF4RpdZmyMjkBp2z,Couleurs,M83,0.499,0.951,3,-6.828,0,0.0532,0.000103,0.947,0.33,0.109,120.016,516707,4
0gIYmeEzq4gcolOQgz7eag,Safety Dance,Dandi Wind,0.695,0.872,11,-3.012,0,0.0575,0.0397,0.0,0.545,0.224,126.957,220107,4
2acK24b60RQD2zBpW0Zsrw,Blind - Radio Edit,Hercules & Love Affair,0.716,0.914,7,-6.907,0,0.0341,0.00542,0.000218,0.0504,0.69,118.579,345560,4
0ArdUHPhHlC9V7FYnZFo1r,Why Cant we be Friends?,Trash Fashion,0.419,0.59,9,-9.598,0,0.0447,0.000153,3.37e-05,0.362,0.695,154.679,184013,4
3q2yH1T78FptWtAmCpQlrG,Untrust Us,Crystal Castles,0.604,0.823,11,-5.389,0,0.0276,0.0429,0.128,0.117,0.19,125.876,186373,4
7fT9FVMsPjxCx2x3N0AhDQ,Drama Queen,Switches,0.477,0.969,8,-3.396,1,0.105,5.35e-05,0.624,0.148,0.329,123.787,177267,4
5x59DBPJeUvktSxTLOYoJ3,Sister Self Doubt,Get Shakes,0.744,0.769,10,-4.152,0,0.0721,0.00666,6.19e-05,0.322,0.702,120.046,261693,4
7AJBaXnWvp7XG5gYDJgmai,Poor Innocent Boys,Cazals,0.559,0.945,11,-6.179,0,0.0918,0.0123,5.38e-05,0.145,0.78,151.99,158160,4
5Bp3OmGILMam5w6KnafdKY,Young Love (feat. Laura Marling),"Mystery Jets, Laura Marling",0.63,0.942,4,-5.186,1,0.0869,0.141,2.12e-06,0.0958,0.753,136.155,202293,4
5JSF5Nhw9W6j9qt74rYTa7,Two Doors Down,Mystery Jets,0.564,0.965,1,-3.17,0,0.0642,0.00912,0.0,0.0997,0.848,123.963,219013,4
2dngx6srtqsxvyh7oGV8FM,Lights & Music,Cut Copy,0.612,0.939,10,-4.206,0,0.0412,0.0763,0.119,0.749,0.543,125.981,277360,4
7gZzAiUheLW0BqRytdC2l7,Epic Last Song,"Does It Offend You, Yeah?",0.441,0.967,1,-3.275,1,0.0436,0.000802,0.249,0.094,0.459,145.02,273725,4
4GQqCRt5qzDRM87vsnjBOB,Being Bad Feels Pretty Good,"Does It Offend You, Yeah?",0.504,0.904,6,-3.65,1,0.0555,0.000881,3.43e-05,0.0869,0.66,145.974,245867,4
